From,Entry,Reviewed,Entry Name,Protein names,Gene Names,Organism,Length,GeneName
P41227,P41227,reviewed,NAA10_HUMAN,N-alpha-acetyltransferase 10 (EC 2.3.1.255) (N-terminal acetyltransferase complex ARD1 subunit homolog A) (hARD1) (NatA catalytic subunit Naa10),NAA10 ARD1 ARD1A TE2,Homo sapiens (Human),235,NAA10
Q14289,Q14289,reviewed,FAK2_HUMAN,Protein-tyrosine kinase 2-beta (EC 2.7.10.2) (Calcium-dependent tyrosine kinase) (CADTK) (Calcium-regulated non-receptor proline-rich tyrosine kinase) (Cell adhesion kinase beta) (CAK-beta) (CAKB) (Focal adhesion kinase 2) (FADK 2) (Proline-rich tyrosine kinase 2) (Related adhesion focal tyrosine kinase) (RAFTK),PTK2B FAK2 PYK2 RAFTK,Homo sapiens (Human),1009,PTK2B
Q9UNZ2,Q9UNZ2,reviewed,NSF1C_HUMAN,NSFL1 cofactor p47 (UBX domain-containing protein 2C) (p97 cofactor p47),NSFL1C UBXN2C,Homo sapiens (Human),370,NSFL1C
Q9UNS2,Q9UNS2,reviewed,CSN3_HUMAN,COP9 signalosome complex subunit 3 (SGN3) (Signalosome subunit 3) (JAB1-containing signalosome subunit 3),COPS3 CSN3,Homo sapiens (Human),423,COPS3
Q9H9Q2,Q9H9Q2,reviewed,CSN7B_HUMAN,COP9 signalosome complex subunit 7b (SGN7b) (Signalosome subunit 7b) (JAB1-containing signalosome subunit 7b),COPS7B CSN7B,Homo sapiens (Human),264,COPS7B
Q8IWF9,Q8IWF9,reviewed,CCD83_HUMAN,Coiled-coil domain-containing protein 83,CCDC83 HSD9,Homo sapiens (Human),413,CCDC83
P54725,P54725,reviewed,RD23A_HUMAN,UV excision repair protein RAD23 homolog A (HR23A) (hHR23A),RAD23A,Homo sapiens (Human),363,RAD23A
P05154,P05154,reviewed,IPSP_HUMAN,Plasma serine protease inhibitor (Acrosomal serine protease inhibitor) (Plasminogen activator inhibitor 3) (PAI-3) (PAI3) (Protein C inhibitor) (PCI) (Serpin A5),SERPINA5 PCI PLANH3 PROCI,Homo sapiens (Human),406,SERPINA5
O75832,O75832,reviewed,PSD10_HUMAN,26S proteasome non-ATPase regulatory subunit 10 (26S proteasome regulatory subunit p28) (Gankyrin) (p28(GANK)),PSMD10,Homo sapiens (Human),226,PSMD10
P00488,P00488,reviewed,F13A_HUMAN,Coagulation factor XIII A chain (Coagulation factor XIIIa) (EC 2.3.2.13) (Protein-glutamine gamma-glutamyltransferase A chain) (Transglutaminase A chain),F13A1 F13A,Homo sapiens (Human),732,F13A1
P02751,P02751,reviewed,FINC_HUMAN,Fibronectin (FN) (Cold-insoluble globulin) (CIG) [Cleaved into: Anastellin; Ugl-Y1; Ugl-Y2; Ugl-Y3],FN1 FN,Homo sapiens (Human),2477,FN1
P06132,P06132,reviewed,DCUP_HUMAN,Uroporphyrinogen decarboxylase (UPD) (URO-D) (EC 4.1.1.37),UROD,Homo sapiens (Human),367,UROD
P02786,P02786,reviewed,TFR1_HUMAN,"Transferrin receptor protein 1 (TR) (TfR) (TfR1) (Trfr) (T9) (p90) (CD antigen CD71) [Cleaved into: Transferrin receptor protein 1, serum form (sTfR)]",TFRC,Homo sapiens (Human),760,TFRC
Q8NE65,Q8NE65,reviewed,ZN738_HUMAN,Zinc finger protein 738,ZNF738,Homo sapiens (Human),375,ZNF738
P54727,P54727,reviewed,RD23B_HUMAN,UV excision repair protein RAD23 homolog B (HR23B) (hHR23B) (XP-C repair-complementing complex 58 kDa protein) (p58),RAD23B,Homo sapiens (Human),409,RAD23B
P11801,P11801,reviewed,KPSH1_HUMAN,Serine/threonine-protein kinase H1 (EC 2.7.11.1) (Protein serine kinase H1) (PSK-H1),PSKH1,Homo sapiens (Human),424,PSKH1
Q05397,Q05397,reviewed,FAK1_HUMAN,Focal adhesion kinase 1 (FADK 1) (EC 2.7.10.2) (Focal adhesion kinase-related nonkinase) (FRNK) (Protein phosphatase 1 regulatory subunit 71) (PPP1R71) (Protein-tyrosine kinase 2) (p125FAK) (pp125FAK),PTK2 FAK FAK1,Homo sapiens (Human),1052,PTK2
O76071,O76071,reviewed,CIAO1_HUMAN,Probable cytosolic iron-sulfur protein assembly protein CIAO1 (WD repeat-containing protein 39),CIAO1 CIA1 WDR39,Homo sapiens (Human),339,CIAO1
Q13637,Q13637,reviewed,RAB32_HUMAN,Ras-related protein Rab-32 (EC 3.6.5.2),RAB32,Homo sapiens (Human),225,RAB32
Q9UNM6,Q9UNM6,reviewed,PSD13_HUMAN,26S proteasome non-ATPase regulatory subunit 13 (26S proteasome regulatory subunit RPN9) (26S proteasome regulatory subunit S11) (26S proteasome regulatory subunit p40.5),PSMD13,Homo sapiens (Human),376,PSMD13
O60636,O60636,reviewed,TSN2_HUMAN,Tetraspanin-2 (Tspan-2) (Tetraspan NET-3),TSPAN2,Homo sapiens (Human),221,TSPAN2
Q13347,Q13347,reviewed,EIF3I_HUMAN,Eukaryotic translation initiation factor 3 subunit I (eIF3i) (Eukaryotic translation initiation factor 3 subunit 2) (TGF-beta receptor-interacting protein 1) (TRIP-1) (eIF-3-beta) (eIF3 p36),EIF3I EIF3S2 TRIP1,Homo sapiens (Human),325,EIF3I
Q17R31,Q17R31,reviewed,TATD3_HUMAN,Deoxyribonuclease TATDN3 (EC 3.1.11.-) (EC 3.1.21.-) (DNA-(apurinic or apyrimidinic site) endonuclease TATDN3) (TatD DNase domain containing 3),TATDN3,Homo sapiens (Human),274,TATDN3
Q14683,Q14683,reviewed,SMC1A_HUMAN,Structural maintenance of chromosomes protein 1A (SMC protein 1A) (SMC-1-alpha) (SMC-1A) (Sb1.8),SMC1A DXS423E KIAA0178 SB1.8 SMC1 SMC1L1,Homo sapiens (Human),1233,SMC1A
O14617,O14617,reviewed,AP3D1_HUMAN,AP-3 complex subunit delta-1 (AP-3 complex subunit delta) (Adaptor-related protein complex 3 subunit delta-1) (Delta-adaptin),AP3D1 PRO0039,Homo sapiens (Human),1153,AP3D1
Q9UBD5,Q9UBD5,reviewed,ORC3_HUMAN,Origin recognition complex subunit 3 (Origin recognition complex subunit Latheo),ORC3 LATHEO ORC3L,Homo sapiens (Human),711,ORC3
Q9UII2,Q9UII2,reviewed,ATIF1_HUMAN,"ATPase inhibitor, mitochondrial (ATP synthase F1 subunit epsilon) (Inhibitor of F(1)F(o)-ATPase) (IF(1)) (IF1)",ATP5IF1 ATPI ATPIF1,Homo sapiens (Human),106,ATP5IF1
P12532,P12532,reviewed,KCRU_HUMAN,"Creatine kinase U-type, mitochondrial (EC 2.7.3.2) (Acidic-type mitochondrial creatine kinase) (Mia-CK) (Ubiquitous mitochondrial creatine kinase) (U-MtCK)",CKMT1A CKMT; CKMT1B CKMT,Homo sapiens (Human),417,CKMT1A
Q92905,Q92905,reviewed,CSN5_HUMAN,COP9 signalosome complex subunit 5 (SGN5) (Signalosome subunit 5) (EC 3.4.-.-) (Jun activation domain-binding protein 1),COPS5 CSN5 JAB1,Homo sapiens (Human),334,COPS5
O00748,O00748,reviewed,EST2_HUMAN,Cocaine esterase (EC 3.1.1.84) (Carboxylesterase 2) (CE-2) (hCE-2) (EC 3.1.1.1) (Methylumbelliferyl-acetate deacetylase 2) (EC 3.1.1.56),CES2 ICE,Homo sapiens (Human),559,CES2
Q8WY64,Q8WY64,reviewed,MYLIP_HUMAN,E3 ubiquitin-protein ligase MYLIP (EC 2.3.2.27) (Inducible degrader of the LDL-receptor) (Idol) (Myosin regulatory light chain interacting protein) (MIR) (RING-type E3 ubiquitin transferase MYLIP),MYLIP BZF1 IDOL BM-023 PP5242,Homo sapiens (Human),445,MYLIP
P45974,P45974,reviewed,UBP5_HUMAN,Ubiquitin carboxyl-terminal hydrolase 5 (EC 3.4.19.12) (Deubiquitinating enzyme 5) (Isopeptidase T) (Ubiquitin thioesterase 5) (Ubiquitin-specific-processing protease 5),USP5 ISOT,Homo sapiens (Human),858,USP5
Q14147,Q14147,reviewed,DHX34_HUMAN,Probable ATP-dependent RNA helicase DHX34 (EC 3.6.4.13) (DEAH box protein 34) (DExH-box helicase 34),DHX34 DDX34 KIAA0134,Homo sapiens (Human),1143,DHX34
Q5JU67,Q5JU67,reviewed,CF157_HUMAN,Cilia- and flagella-associated protein 157,CFAP157 C9orf117,Homo sapiens (Human),520,CFAP157
Q9Y5K6,Q9Y5K6,reviewed,CD2AP_HUMAN,CD2-associated protein (Adapter protein CMS) (Cas ligand with multiple SH3 domains),CD2AP,Homo sapiens (Human),639,CD2AP
Q08ET2,Q08ET2,reviewed,SIG14_HUMAN,Sialic acid-binding Ig-like lectin 14 (Siglec-14),SIGLEC14 UNQ294/PRO333,Homo sapiens (Human),396,SIGLEC14
P02748,P02748,reviewed,CO9_HUMAN,Complement component C9 [Cleaved into: Complement component C9a; Complement component C9b],C9,Homo sapiens (Human),559,C9
Q08554,Q08554,reviewed,DSC1_HUMAN,Desmocollin-1 (Cadherin family member 1) (Desmosomal glycoprotein 2/3) (DG2/DG3),DSC1 CDHF1,Homo sapiens (Human),894,DSC1
O60287,O60287,reviewed,NPA1P_HUMAN,Nucleolar pre-ribosomal-associated protein 1 (Nucleolar protein 254 kDa) (URB1 ribosome biogenesis 1 homolog),URB1 C21orf108 KIAA0539 NOP254 NPA1,Homo sapiens (Human),2271,URB1
O14734,O14734,reviewed,ACOT8_HUMAN,Acyl-coenzyme A thioesterase 8 (Acyl-CoA thioesterase 8) (EC 3.1.2.1) (EC 3.1.2.11) (EC 3.1.2.2) (EC 3.1.2.3) (EC 3.1.2.5) (Choloyl-coenzyme A thioesterase) (EC 3.1.2.27) (HIV-Nef-associated acyl-CoA thioesterase) (Peroxisomal acyl-CoA thioesterase 2) (PTE-2) (Peroxisomal acyl-coenzyme A thioester hydrolase 1) (PTE-1) (Peroxisomal long-chain acyl-CoA thioesterase 1) (Thioesterase II) (hACTE-III) (hACTEIII) (hTE),ACOT8 ACTEIII PTE1,Homo sapiens (Human),319,ACOT8
Q86YW5,Q86YW5,reviewed,TRML1_HUMAN,Trem-like transcript 1 protein (TLT-1) (Triggering receptor expressed on myeloid cells-like protein 1),TREML1 TLT1 UNQ1825/PRO3438,Homo sapiens (Human),311,TREML1
Q5XPI4,Q5XPI4,reviewed,RN123_HUMAN,E3 ubiquitin-protein ligase RNF123 (EC 2.3.2.27) (Kip1 ubiquitination-promoting complex protein 1) (RING finger protein 123),RNF123 KPC1 FP1477,Homo sapiens (Human),1314,RNF123
P14854,P14854,reviewed,CX6B1_HUMAN,Cytochrome c oxidase subunit 6B1 (Cytochrome c oxidase subunit VIb isoform 1) (COX VIb-1),COX6B1 COX6B,Homo sapiens (Human),86,COX6B1
Q8TDL5,Q8TDL5,reviewed,BPIB1_HUMAN,"BPI fold-containing family B member 1 (Long palate, lung and nasal epithelium carcinoma-associated protein 1) (von Ebner minor salivary gland protein) (VEMSGP)",BPIFB1 C20orf114 LPLUNC1 UNQ706/PRO1357,Homo sapiens (Human),484,BPIFB1
P55056,P55056,reviewed,APOC4_HUMAN,Apolipoprotein C-IV (Apo-CIV) (ApoC-IV) (Apolipoprotein C4),APOC4,Homo sapiens (Human),127,APOC4
Q13200,Q13200,reviewed,PSMD2_HUMAN,26S proteasome non-ATPase regulatory subunit 2 (26S proteasome regulatory subunit RPN1) (26S proteasome regulatory subunit S2) (26S proteasome subunit p97) (Protein 55.11) (Tumor necrosis factor type 1 receptor-associated protein 2),PSMD2 TRAP2,Homo sapiens (Human),908,PSMD2
P37840,P37840,reviewed,SYUA_HUMAN,Alpha-synuclein (Non-A beta component of AD amyloid) (Non-A4 component of amyloid precursor) (NACP),SNCA NACP PARK1,Homo sapiens (Human),140,SNCA
Q9UJ70,Q9UJ70,reviewed,NAGK_HUMAN,N-acetyl-D-glucosamine kinase (N-acetylglucosamine kinase) (EC 2.7.1.59) (GlcNAc kinase) (Muramyl dipeptide kinase) (EC 2.7.1.-) (N-acetyl-D-mannosamine kinase) (EC 2.7.1.60),NAGK,Homo sapiens (Human),344,NAGK
Q14C86,Q14C86,reviewed,GAPD1_HUMAN,GTPase-activating protein and VPS9 domain-containing protein 1 (GAPex-5) (Rab5-activating protein 6),GAPVD1 GAPEX5 KIAA1521 RAP6,Homo sapiens (Human),1478,GAPVD1
O14737,O14737,reviewed,PDCD5_HUMAN,Programmed cell death protein 5 (TF-1 cell apoptosis-related protein 19) (Protein TFAR19),PDCD5 TFAR19,Homo sapiens (Human),125,PDCD5
Q92973,Q92973,reviewed,TNPO1_HUMAN,Transportin-1 (Importin beta-2) (Karyopherin beta-2) (M9 region interaction protein) (MIP),TNPO1 KPNB2 MIP1 TRN,Homo sapiens (Human),898,TNPO1
Q9BT78,Q9BT78,reviewed,CSN4_HUMAN,COP9 signalosome complex subunit 4 (SGN4) (Signalosome subunit 4) (JAB1-containing signalosome subunit 4),COPS4 CSN4,Homo sapiens (Human),406,COPS4
O76027,O76027,reviewed,ANXA9_HUMAN,Annexin A9 (Annexin XXXI) (Annexin-31) (Annexin-9) (Pemphaxin),ANXA9 ANX31,Homo sapiens (Human),345,ANXA9
Q9P2D0,Q9P2D0,reviewed,IBTK_HUMAN,Inhibitor of Bruton tyrosine kinase (IBtk),IBTK BTKI KIAA1417,Homo sapiens (Human),1353,IBTK
O75995,O75995,reviewed,SASH3_HUMAN,SAM and SH3 domain-containing protein 3 (SH3 protein expressed in lymphocytes homolog),SASH3 CXorf9 SLY,Homo sapiens (Human),380,SASH3
Q9Y3I1,Q9Y3I1,reviewed,FBX7_HUMAN,F-box only protein 7,FBXO7 FBX7,Homo sapiens (Human),522,FBXO7
Q8IXQ3,Q8IXQ3,reviewed,CI040_HUMAN,Uncharacterized protein C9orf40,C9orf40,Homo sapiens (Human),194,C9orf40
P35052,P35052,reviewed,GPC1_HUMAN,Glypican-1 [Cleaved into: Secreted glypican-1],GPC1,Homo sapiens (Human),558,GPC1
P08572,P08572,reviewed,CO4A2_HUMAN,Collagen alpha-2(IV) chain [Cleaved into: Canstatin],COL4A2,Homo sapiens (Human),1712,COL4A2
P07357,P07357,reviewed,CO8A_HUMAN,Complement component C8 alpha chain (Complement component 8 subunit alpha),C8A,Homo sapiens (Human),584,C8A
Q92598,Q92598,reviewed,HS105_HUMAN,Heat shock protein 105 kDa (Antigen NY-CO-25) (Heat shock 110 kDa protein) (Heat shock protein family H member 1),HSPH1 HSP105 HSP110 KIAA0201,Homo sapiens (Human),858,HSPH1
Q9NYQ8,Q9NYQ8,reviewed,FAT2_HUMAN,Protocadherin Fat 2 (hFat2) (Cadherin family member 8) (Multiple epidermal growth factor-like domains protein 1) (Multiple EGF-like domains protein 1),FAT2 CDHF8 KIAA0811 MEGF1,Homo sapiens (Human),4349,FAT2
Q9H5X1,Q9H5X1,reviewed,CIA2A_HUMAN,Cytosolic iron-sulfur assembly component 2A (MIP18 family protein FAM96A),CIAO2A CIA2A FAM96A,Homo sapiens (Human),160,CIAO2A
P21912,P21912,reviewed,SDHB_HUMAN,"Succinate dehydrogenase [ubiquinone] iron-sulfur subunit, mitochondrial (EC 1.3.5.1) (Iron-sulfur subunit of complex II) (Ip) (Malate dehydrogenase [quinone] iron-sulfur subunit) (EC 1.1.5.-)",SDHB SDH SDH1,Homo sapiens (Human),280,SDHB
P02675,P02675,reviewed,FIBB_HUMAN,Fibrinogen beta chain [Cleaved into: Fibrinopeptide B; Fibrinogen beta chain],FGB,Homo sapiens (Human),491,FGB
Q9NQ79,Q9NQ79,reviewed,CRAC1_HUMAN,Cartilage acidic protein 1 (68 kDa chondrocyte-expressed protein) (CEP-68) (ASPIC),CRTAC1 ASPIC1 CEP68,Homo sapiens (Human),661,CRTAC1
Q92685,Q92685,reviewed,ALG3_HUMAN,"Dol-P-Man:Man(5)GlcNAc(2)-PP-Dol alpha-1,3-mannosyltransferase (EC 2.4.1.258) (Asparagine-linked glycosylation protein 3 homolog) (Dol-P-Man-dependent alpha(1-3)-mannosyltransferase) (Dolichyl-P-Man:Man(5)GlcNAc(2)-PP-dolichyl mannosyltransferase) (Dolichyl-phosphate-mannose--glycolipid alpha-mannosyltransferase) (Not56-like protein)",ALG3 NOT NOT56L,Homo sapiens (Human),438,ALG3
Q99459,Q99459,reviewed,CDC5L_HUMAN,Cell division cycle 5-like protein (Cdc5-like protein) (Pombe cdc5-related protein),CDC5L KIAA0432 PCDC5RP,Homo sapiens (Human),802,CDC5L
Q9P0U4,Q9P0U4,reviewed,CXXC1_HUMAN,CXXC-type zinc finger protein 1 (CpG-binding protein) (PHD finger and CXXC domain-containing protein 1),CXXC1 CFP1 CGBP PCCX1 PHF18,Homo sapiens (Human),656,CXXC1
P15822,P15822,reviewed,ZEP1_HUMAN,Zinc finger protein 40 (Cirhin interaction protein) (CIRIP) (Gate keeper of apoptosis-activating protein) (GAAP) (Human immunodeficiency virus type I enhancer-binding protein 1) (HIV-EP1) (Major histocompatibility complex-binding protein 1) (MBP-1) (Positive regulatory domain II-binding factor 1) (PRDII-BF1),HIVEP1 ZNF40,Homo sapiens (Human),2718,HIVEP1
Q9UBW8,Q9UBW8,reviewed,CSN7A_HUMAN,COP9 signalosome complex subunit 7a (SGN7a) (Signalosome subunit 7a) (Dermal papilla-derived protein 10) (JAB1-containing signalosome subunit 7a),COPS7A CSN7A DERP10,Homo sapiens (Human),275,COPS7A
P55157,P55157,reviewed,MTP_HUMAN,Microsomal triglyceride transfer protein large subunit,MTTP MTP,Homo sapiens (Human),894,MTTP
O43402,O43402,reviewed,EMC8_HUMAN,ER membrane protein complex subunit 8 (Neighbor of COX4) (Protein FAM158B),EMC8 C16orf2 C16orf4 COX4AL COX4NB FAM158B NOC4,Homo sapiens (Human),210,EMC8
P30050,P30050,reviewed,RL12_HUMAN,Large ribosomal subunit protein uL11 (60S ribosomal protein L12),RPL12,Homo sapiens (Human),165,RPL12
Q99733,Q99733,reviewed,NP1L4_HUMAN,Nucleosome assembly protein 1-like 4 (Nucleosome assembly protein 2) (NAP-2),NAP1L4 NAP2,Homo sapiens (Human),375,NAP1L4
Q9ULC0,Q9ULC0,reviewed,MUCEN_HUMAN,Endomucin (Endomucin-2) (Gastric cancer antigen Ga34) (Mucin-14) (MUC-14),EMCN EMCN2 MUC14,Homo sapiens (Human),261,EMCN
P02679,P02679,reviewed,FIBG_HUMAN,Fibrinogen gamma chain,FGG PRO2061,Homo sapiens (Human),453,FGG
Q9NT68,Q9NT68,reviewed,TEN2_HUMAN,"Teneurin-2 (Ten-2) (Protein Odd Oz/ten-m homolog 2) (Tenascin-M2) (Ten-m2) (Teneurin transmembrane protein 2) [Cleaved into: Ten-2, soluble form; Ten-2 intracellular domain (Ten-2 ICD)]",TENM2 KIAA1127 ODZ2 TNM2,Homo sapiens (Human),2774,TENM2
P55036,P55036,reviewed,PSMD4_HUMAN,26S proteasome non-ATPase regulatory subunit 4 (26S proteasome regulatory subunit RPN10) (26S proteasome regulatory subunit S5A) (Antisecretory factor 1) (AF) (ASF) (Multiubiquitin chain-binding protein),PSMD4 MCB1,Homo sapiens (Human),377,PSMD4
Q96JJ7,Q96JJ7,reviewed,TMX3_HUMAN,Protein disulfide-isomerase TMX3 (EC 5.3.4.1) (Thioredoxin domain-containing protein 10) (Thioredoxin-related transmembrane protein 3),TMX3 KIAA1830 TXNDC10,Homo sapiens (Human),454,TMX3
P02743,P02743,reviewed,SAMP_HUMAN,Serum amyloid P-component (SAP) (9.5S alpha-1-glycoprotein) [Cleaved into: Serum amyloid P-component(1-203)],APCS PTX2,Homo sapiens (Human),223,APCS
Q8NI99,Q8NI99,reviewed,ANGL6_HUMAN,Angiopoietin-related protein 6 (Angiopoietin-like protein 6) (Angiopoietin-related growth factor) (Angiopoietin-related protein 5),ANGPTL6 AGF ARP5 UNQ152/PRO178,Homo sapiens (Human),470,ANGPTL6
Q8WUN7,Q8WUN7,reviewed,UBTD2_HUMAN,Ubiquitin domain-containing protein 2 (Dendritic cell-derived ubiquitin-like protein) (DC-UbP) (Ubiquitin-like protein SB72),UBTD2 DCUBP SB72,Homo sapiens (Human),234,UBTD2
Q06033,Q06033,reviewed,ITIH3_HUMAN,Inter-alpha-trypsin inhibitor heavy chain H3 (ITI heavy chain H3) (ITI-HC3) (Inter-alpha-inhibitor heavy chain 3) (Serum-derived hyaluronan-associated protein) (SHAP),ITIH3,Homo sapiens (Human),890,ITIH3
Q7L5N1,Q7L5N1,reviewed,CSN6_HUMAN,COP9 signalosome complex subunit 6 (SGN6) (Signalosome subunit 6) (JAB1-containing signalosome subunit 6) (MOV34 homolog) (Vpr-interacting protein) (hVIP),COPS6 CSN6 HVIP,Homo sapiens (Human),327,COPS6
P13798,P13798,reviewed,ACPH_HUMAN,Acylamino-acid-releasing enzyme (AARE) (EC 3.4.19.1) (Acyl-peptide hydrolase) (APH) (Acylaminoacyl-peptidase) (Oxidized protein hydrolase) (OPH),APEH D3F15S2 D3S48E DNF15S2,Homo sapiens (Human),732,APEH
P62195,P62195,reviewed,PRS8_HUMAN,26S proteasome regulatory subunit 8 (26S proteasome AAA-ATPase subunit RPT6) (Proteasome 26S subunit ATPase 5) (Proteasome subunit p45) (Thyroid hormone receptor-interacting protein 1) (TRIP1) (p45/SUG),PSMC5 SUG1,Homo sapiens (Human),406,PSMC5
Q15008,Q15008,reviewed,PSMD6_HUMAN,26S proteasome non-ATPase regulatory subunit 6 (26S proteasome regulatory subunit RPN7) (26S proteasome regulatory subunit S10) (Breast cancer-associated protein SGA-113M) (Phosphonoformate immuno-associated protein 4) (Proteasome regulatory particle subunit p44S10) (p42A),PSMD6 KIAA0107 PFAAP4,Homo sapiens (Human),389,PSMD6
Q8TDZ2,Q8TDZ2,reviewed,MICA1_HUMAN,[F-actin]-monooxygenase MICAL1 (EC 1.14.13.225) (EC 1.6.3.1) (Molecule interacting with CasL protein 1) (MICAL-1) (NEDD9-interacting protein with calponin homology and LIM domains),MICAL1 MICAL NICAL,Homo sapiens (Human),1067,MICAL1
Q9BYJ0,Q9BYJ0,reviewed,FGFP2_HUMAN,Fibroblast growth factor-binding protein 2 (FGF-BP2) (FGF-binding protein 2) (FGFBP-2) (37 kDa killer-specific secretory protein) (Ksp37) (HBp17-related protein) (HBp17-RP),FGFBP2 KSP37 UNQ425/PRO1065,Homo sapiens (Human),223,FGFBP2
